u,v,key,osmid,highway,lanes,name,oneway,reversed,length,geometry,ref,junction,bridge,tunnel,maxspeed,access
1489219854,1489219832,0,23711680,tertiary,,Adeniyi Jones Avenue,False,True,158.83858530931036,"LINESTRING (537808.8472723323 730434.9407637602, 537815.3107680423 730439.665549726, 537834.8338312401 730453.9394957741, 537896.3419053173 730498.9190642226, 537936.8684600209 730528.5514050213)",,,,,,
1489219854,1489219657,0,135619446,residential,,Ali Balogun Street,False,False,271.01209665275127,"LINESTRING (537808.8472723323 730434.9407637602, 537909.9139918032 730310.0040370617, 537951.5799449915 730258.4958588391, 537978.7414077563 730224.9194367868)",,,,,,
1489219885,1489219663,0,135619413,residential,,Ajao Road,False,True,78.92587299753843,"LINESTRING (537505.9882818458 730118.4815689874, 537478.2029947265 730191.931974713)",,,,,,
1489219885,1489219805,0,135619447,residential,,Olorunmbe Street,False,False,81.63070249242273,"LINESTRING (537505.9882818458 730118.4815689874, 537572.2818424017 730165.9070784408)",,,,,,
1489219885,1489219717,0,135619413,residential,,Ajao Road,False,False,251.15365822614322,"LINESTRING (537505.9882818458 730118.4815689874, 537572.7155431019 729935.3069826018, 537591.6426375286 729883.7388151034)",,,,,,
13805388293,1489219675,0,135619419,residential,,,False,False,23.59288912087532,"LINESTRING (538104.5397625145 730735.2791595162, 538123.8276673143 730721.750542603)",,,,,,
1489219949,1489219994,0,23711680,tertiary,,Adeniyi Jones Avenue,False,True,25.017368795966533,"LINESTRING (538149.1368569722 730776.6987803816, 538157.5660169183 730800.1184343738)",,,,,,
1489219949,1489219675,0,23711680,tertiary,,Adeniyi Jones Avenue,False,False,60.78422525380111,"LINESTRING (538149.1368569722 730776.6987803816, 538139.2145607845 730754.4498889011, 538123.8276673143 730721.750542603)",,,,,,
1489219949,1489220047,0,135619386,residential,,,False,False,244.4450220985915,"LINESTRING (538149.1368569722 730776.6987803816, 538216.4605413821 730755.5536908152, 538280.3495561146 730729.9070366637, 538376.4401417049 730687.5682304475)",,,,,,
1489219686,1489219907,0,135619475,residential,,,False,True,155.13181996750305,"LINESTRING (538744.4539701815 730801.9436648894, 538634.3104653169 730832.7087637594, 538594.7294620395 730842.6965206033)",,,,,,
1489219907,1489219686,0,135619475,residential,,,False,False,155.13181996750305,"LINESTRING (538594.7294620395 730842.6965206033, 538634.3104653169 730832.7087637594, 538744.4539701815 730801.9436648894)",,,,,,
1489219907,1489219836,0,135619486,residential,,,False,False,88.75940254525446,"LINESTRING (538594.7294620395 730842.6965206033, 538589.1062002053 730822.2082482962, 538582.3114866333 730785.5351001495, 538578.3305214428 730756.0826344254)",,,,,,
1489219907,5574199832,0,135619486,residential,,,False,True,71.36811218248366,"LINESTRING (538594.7294620395 730842.6965206033, 538599.9041604308 730856.5406146346, 538601.6745889318 730869.7853672567, 538600.4752608362 730877.5891317728, 538597.6500387657 730886.7183172987, 538587.2745090306 730896.2843927315, 538578.0727562357 730902.9549663306)",,,,,,
1489219687,1489220041,0,135619443,residential,,,False,False,105.39991974157584,"LINESTRING (538619.2702343874 731361.3995234405, 538650.4607884395 731461.499516172)",,,,,,
1489219687,1489219877,0,135619476,residential,,,False,False,113.35381836836233,"LINESTRING (538619.2702343874 731361.3995234405, 538617.9211765897 731346.3199851293, 538616.615852663 731331.925868167, 538618.9967210339 731325.8916828044, 538624.7813160778 731321.1864512798, 538648.0535853534 731316.33874711, 538693.2812460592 731308.7096669746)",,,,,,
1489219687,1489219794,0,135619476,residential,,,False,True,78.68008052807635,"LINESTRING (538619.2702343874 731361.3995234405, 538609.5958791353 731380.0309261818, 538577.118958893 731427.3332286793)",,,,,,
1489220041,1489219687,0,135619443,residential,,,False,True,105.39991974157584,"LINESTRING (538650.4607884395 731461.499516172, 538619.2702343874 731361.3995234405)",,,,,,
1489219693,1489220018,0,135619381,residential,,,False,True,12.1486505556473,"LINESTRING (538792.9396612888 731253.5617459753, 538780.9335590869 731255.4657359308)",,,,,,
1489220018,1489219693,0,135619381,residential,,,False,False,12.1486505556473,"LINESTRING (538780.9335590869 731255.4657359308, 538792.9396612888 731253.5617459753)",,,,,,
1489220018,1489219724,0,135619381,residential,,,False,True,79.72899184467764,"LINESTRING (538780.9335590869 731255.4657359308, 538747.8717827898 731253.9721497201, 538732.6079323406 731251.3193234643, 538703.532494205 731240.0783401525)",,,,,,
1489220018,1489219782,0,135619441,residential,,,False,False,111.97710124206566,"LINESTRING (538780.9335590869 731255.4657359308, 538784.5967809007 731312.0240969296, 538783.7623319906 731366.6668251771)",,,,,,
1489219694,1489219781,0,23711680,tertiary,,Adeniyi Jones Avenue,False,True,85.70868715059004,"LINESTRING (538248.273074928 731361.5601922311, 538244.8423378742 731446.7009606919)",,,,,,
1489219694,1489219963,0,135619464,residential,,,False,False,76.8025102256095,"LINESTRING (538248.273074928 731361.5601922311, 538324.980705131 731356.7163983915)",,,,,,
1489219694,1489219901,0,23711680,tertiary,,Adeniyi Jones Avenue,False,False,196.98479578254071,"LINESTRING (538248.273074928 731361.5601922311, 538248.6353126685 731333.4483901428, 538249.464911754 731269.1217788536, 538249.9512674963 731253.2697049677, 538251.6595860153 731197.0025689093, 538250.9406879296 731165.7725963228)",,,,,,
1489219781,1489219694,0,23711680,tertiary,,Adeniyi Jones Avenue,False,False,85.70868715059004,"LINESTRING (538244.8423378742 731446.7009606919, 538248.273074928 731361.5601922311)",,,,,,
1489219781,1489219817,0,135619507,residential,,,False,True,152.64744127424626,"LINESTRING (538244.8423378742 731446.7009606919, 538092.2123198787 731440.2827403593)",,,,,,
1489219781,1489219865,0,23711680,tertiary,,Adeniyi Jones Avenue,False,True,80.7919382814538,"LINESTRING (538244.8423378742 731446.7009606919, 538241.9530297512 731516.2771162662, 538241.01708226 731526.9221235054)",,,,,,
1489219901,5573446118,0,23711680,tertiary,,Adeniyi Jones Avenue,False,False,8.742724983377249,"LINESTRING (538250.9406879296 731165.7725963228, 538251.1678151622 731157.0837755243)",,,,,,
1489219901,1489219694,0,23711680,tertiary,,Adeniyi Jones Avenue,False,True,196.98479578254071,"LINESTRING (538250.9406879296 731165.7725963228, 538251.6595860153 731197.0025689093, 538249.9512674963 731253.2697049677, 538249.464911754 731269.1217788536, 538248.6353126685 731333.4483901428, 538248.273074928 731361.5601922311)",,,,,,
1489219901,1489219873,0,550436987,residential,1,Alhaji Jimoh street,False,False,88.5996534827894,"LINESTRING (538250.9406879296 731165.7725963228, 538266.352367415 731162.5553537692, 538338.0365363046 731149.2733459049)",,,,,50,
1489219707,1489219884,0,135619401,residential,,,False,False,22.038218958253278,"LINESTRING (538493.5591519875 731367.2034895625, 538511.3360803899 731380.1720315831)",,,,,,
1489219884,1489219794,0,135619401,residential,,,False,False,81.06118918805083,"LINESTRING (538511.3360803899 731380.1720315831, 538577.118958893 731427.3332286793)",,,,,,
1489219884,1489219707,0,135619401,residential,,,False,True,22.038218958253278,"LINESTRING (538511.3360803899 731380.1720315831, 538493.5591519875 731367.2034895625)",,,,,,
1489219884,1489219714,0,135619455,residential,,,False,True,171.3137712277939,"LINESTRING (538511.3360803899 731380.1720315831, 538411.8077352254 731518.8497170652)",,,,,,
1489219710,13859725240,0,135619478,residential,,,False,True,18.43336887980505,"LINESTRING (537984.6338808199 729631.1107057815, 537967.8701042944 729638.7600385759)",,,,,,
1489219710,1489219842,0,134404770,primary,2,Obafemi Awolowo Way,True,False,136.20668279567522,"LINESTRING (537984.6338808199 729631.1107057815, 537978.1342506391 729614.5352729405, 537935.1305990167 729504.9428078308)",,,,,,
13859725240,1489219710,0,135619478,residential,,,False,False,18.43336887980505,"LINESTRING (537967.8701042944 729638.7600385759, 537984.6338808199 729631.1107057815)",,,,,,
1489219842,1477869968,0,134404770,primary,2,Obafemi Awolowo Way,True,False,208.3838897434129,"LINESTRING (537935.1305990167 729504.9428078308, 537912.4102263427 729445.729413931, 537907.0889746199 729435.5554573304, 537892.4308802119 729403.2215232865, 537872.2121724237 729371.1711947675, 537849.69259151 729341.3302290441, 537836.1404749562 729324.2414616327)",,,,,,
1489219842,1489219715,0,135619413,residential,,Ajao Road,False,True,377.61780021960584,"LINESTRING (537935.1305990167 729504.9428078308, 537898.4151160705 729526.3414963988, 537798.7048111713 729589.6825947866, 537796.7473211987 729590.9304296416, 537694.4838457826 729654.037806399, 537680.4710583382 729664.043750791, 537675.3494958808 729668.9706304193, 537671.6420895304 729675.0813269257, 537666.4377593264 729687.8901292385, 537653.788342642 729724.8814573233, 537650.9743837845 729733.866979471)",,,,,,
1489219724,1489220018,0,135619381,residential,,,False,False,79.72899184467764,"LINESTRING (538703.532494205 731240.0783401525, 538732.6079323406 731251.3193234643, 538747.8717827898 731253.9721497201, 538780.9335590869 731255.4657359308)",,,,,,
1489219724,1489219958,0,135619381,residential,,,False,True,124.7925073129818,"LINESTRING (538703.532494205 731240.0783401525, 538597.884634372 731198.1952481819, 538587.8065917628 731193.4788783793)",,,,,,
1489219724,1489219877,0,135619471,residential,,,False,True,70.04888328765261,"LINESTRING (538703.532494205 731240.0783401525, 538697.3097747597 731270.430126192, 538692.6688777487 731299.2464249717, 538693.2812460592 731308.7096669746)",,,,,,
1489219731,1489219770,0,135619423,residential,,,False,True,49.9720363451449,"LINESTRING (538414.7176821181 731752.1055849567, 538372.9858420278 731724.7271314523)",,,,,,
1489219770,1489219957,0,135619407,residential,,,False,False,15.720391255657907,"LINESTRING (538372.9858420278 731724.7271314523, 538381.2414254057 731711.4230587229)",,,,,,
1489219770,1489219857,0,135619407,residential,,,False,True,70.75474400206821,"LINESTRING (538372.9858420278 731724.7271314523, 538334.0457979107 731783.4777001415)",,,,,,
1489219770,1489219731,0,135619423,residential,,,False,False,49.9720363451449,"LINESTRING (538372.9858420278 731724.7271314523, 538414.7176821181 731752.1055849567)",,,,,,
1489219732,1489219773,0,135619398,unclassified,,Niwil Close,False,False,429.39612413393627,"LINESTRING (536751.7598362154 730322.4289309112, 536775.3818365159 730323.8928682046, 536814.8561273988 730324.6599172464, 536823.4451891314 730324.8204276509, 537030.0063632674 730339.7169748861, 537180.3246282774 730352.7080448528)",,,,,,
