osmid,y,x,street_count,highway,geometry
1486267203,734201.3686865729,540407.2891231229,3,,POINT (540407.2891231229 734201.3686865729)
1486267491,733968.6539180616,540419.6308289357,3,,POINT (540419.6308289357 733968.6539180616)
1486267242,733986.4673508317,540500.2535054608,3,,POINT (540500.2535054608 733986.4673508317)
1486267252,733962.5665487659,540663.6873104235,3,,POINT (540663.6873104235 733962.5665487659)
12813406052,734286.286978504,540789.4238422774,3,,POINT (540789.4238422774 734286.286978504)
1486267255,734145.3418118458,540345.1874617866,1,,POINT (540345.1874617866 734145.3418118458)
1486267597,733941.9974197244,539520.9725409906,3,,POINT (539520.9725409906 733941.9974197244)
5610694822,734598.008785965,540567.3929486547,2,,POINT (540567.3929486547 734598.008785965)
1486325879,734142.9866052158,540194.1204614908,3,,POINT (540194.1204614908 734142.9866052158)
5610726907,734494.6695588331,540358.4484056336,1,,POINT (540358.4484056336 734494.6695588331)
12813238754,734506.3749081923,540356.284347682,1,,POINT (540356.284347682 734506.3749081923)
1486267448,733851.9049503913,539815.6821008777,3,,POINT (539815.6821008777 733851.9049503913)
1489135878,733782.1152849441,539798.6881616465,3,,POINT (539798.6881616465 733782.1152849441)
1486267456,733394.7129368834,539074.8759791787,3,,POINT (539074.8759791787 733394.7129368834)
1489135868,733468.4372625722,539137.6082284398,3,,POINT (539137.6082284398 733468.4372625722)
5618799853,733905.5103769002,540180.5772514689,3,,POINT (540180.5772514689 733905.5103769002)
1486325707,734042.0044149839,539514.1466546553,3,,POINT (539514.1466546553 734042.0044149839)
1486325580,733827.928144763,539404.0746479476,3,,POINT (539404.0746479476 733827.928144763)
1486325427,734004.9510591602,539455.6116315938,3,,POINT (539455.6116315938 734004.9510591602)
1486325514,734051.5994097024,539421.4336094413,1,,POINT (539421.4336094413 734051.5994097024)
1486325976,734101.027925475,539209.9548962953,3,,POINT (539209.9548962953 734101.027925475)
1486325504,734613.0571829835,540046.0791802816,3,,POINT (540046.0791802816 734613.0571829835)
1486325674,734663.6774800284,539819.9110346179,3,,POINT (539819.9110346179 734663.6774800284)
1486325443,735043.9525213137,539870.9107297594,2,,POINT (539870.9107297594 735043.9525213137)
1486325672,734945.0892415203,539763.2676791158,3,,POINT (539763.2676791158 734945.0892415203)
1486325446,735182.3769995787,539302.2932015028,3,,POINT (539302.2932015028 735182.3769995787)
1486325905,735273.9875312392,539348.6291074584,3,,POINT (539348.6291074584 735273.9875312392)
1486325807,735247.7973746603,539053.524707695,1,,POINT (539053.524707695 735247.7973746603)
1486325482,735158.3420894742,539284.1609187651,3,,POINT (539284.1609187651 735158.3420894742)
1486325452,735193.564015243,539669.2000953637,3,,POINT (539669.2000953637 735193.564015243)
1486325464,735215.910772627,539584.8360249987,3,,POINT (539584.8360249987 735215.910772627)
1486325654,735050.5214426758,539585.1104988796,4,,POINT (539585.1104988796 735050.5214426758)
1486325457,735327.7727336113,539123.224877132,1,,POINT (539123.224877132 735327.7727336113)
1486325469,734052.7851094257,538962.0031493169,3,,POINT (538962.0031493169 734052.7851094257)
1486325694,734114.1389835438,538946.8714260064,1,,POINT (538946.8714260064 734114.1389835438)
1486325744,734108.6805578533,539105.6261548814,3,,POINT (539105.6261548814 734108.6805578533)
13282693581,734046.8896538415,538926.2712328229,1,,POINT (538926.2712328229 734046.8896538415)
1486325477,734155.8937442615,539488.6966239744,3,,POINT (539488.6966239744 734155.8937442615)
1486325593,734185.4748533762,539563.485536618,3,,POINT (539563.485536618 734185.4748533762)
4537826920,734116.9549002007,539498.2418004894,3,,POINT (539498.2418004894 734116.9549002007)
5610607135,734193.307065105,539479.1857201391,3,,POINT (539479.1857201391 734193.307065105)
1486325785,735007.556837965,539223.8847622928,3,,POINT (539223.8847622928 735007.556837965)
1486325583,735132.8365827168,539173.0932885087,3,,POINT (539173.0932885087 735132.8365827168)
1486325491,735720.3339018904,539088.7783949705,4,,POINT (539088.7783949705 735720.3339018904)
5480700730,735704.2739816047,539030.5173540934,1,,POINT (539030.5173540934 735704.2739816047)
1486325850,735738.4973659355,539182.1870912826,3,,POINT (539182.1870912826 735738.4973659355)
1486325765,735614.3579573126,539111.9665100474,3,,POINT (539111.9665100474 735614.3579573126)
1486325585,735769.2093109934,539076.8833457336,1,,POINT (539076.8833457336 735769.2093109934)
1486325494,734789.9971902987,539603.2829265405,1,,POINT (539603.2829265405 734789.9971902987)
1486325497,734707.326326261,539475.7200027561,3,,POINT (539475.7200027561 734707.326326261)
1486325495,734765.3983185901,539339.8317553855,3,,POINT (539339.8317553855 734765.3983185901)
1486325844,734740.5976381198,539255.9542157534,4,,POINT (539255.9542157534 734740.5976381198)
1486325927,734789.8097253584,539450.9229776572,3,,POINT (539450.9229776572 734789.8097253584)
1486325562,734850.558156285,539332.0110387015,3,,POINT (539332.0110387015 734850.558156285)
1486325496,734817.6609991986,539241.9495377528,3,,POINT (539241.9495377528 734817.6609991986)
1486325510,734797.4823678046,539113.1587891142,1,,POINT (539113.1587891142 734797.4823678046)
1486325866,734989.5844473527,539227.4568328267,3,,POINT (539227.4568328267 734989.5844473527)
1486325940,734665.1834761885,539503.162904415,3,,POINT (539503.162904415 734665.1834761885)
1486326008,734511.6544164644,539116.6128185006,1,,POINT (539116.6128185006 734511.6544164644)
1486325831,734545.573626211,540068.6555085422,3,,POINT (540068.6555085422 734545.573626211)
1486325864,734560.3493663669,539850.6595521874,4,,POINT (539850.6595521874 734560.3493663669)
1486325506,734323.2166985312,539395.1407495142,1,,POINT (539395.1407495142 734323.2166985312)
1486325763,734280.4568259335,539394.762540696,3,,POINT (539394.762540696 734280.4568259335)
1486325507,734189.4131383217,539383.3766029174,1,,POINT (539383.3766029174 734189.4131383217)
1486325962,734208.80292542,539475.2505478532,3,,POINT (539475.2505478532 734208.80292542)
1486325509,734384.274948287,539918.2361331214,4,,POINT (539918.2361331214 734384.274948287)
1486325760,734475.5033740915,539879.5266725047,3,,POINT (539879.5266725047 734475.5033740915)
1486325591,734343.3148705778,539808.714810643,3,,POINT (539808.714810643 734343.3148705778)
